Word,Count
#AppCompatTheme_actionBarPopupTheme,2
alexlahdekorpi.bclepakko:contentInsetStartWithNavigation,2
#ActionMode_subtitleTextStyle,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintWidth_default},2
#AppCompatTheme_ratingBarStyleSmall,2
alexlahdekorpi.bclepakko:layout_constraintStart_toStartOf,2
#LinearLayoutCompat_showDividers,2
#MenuItem_showAsAction,2
alexlahdekorpi.bclepakko:layout_constraintLeft_toLeftOf}</code></td><td></td></tr>,2
#ViewStubCompat_android_inflatedId,2
#SearchView_defaultQueryHint,2
#LinearLayoutCompat_android_weightSum,2
#DrawerArrowToggle_arrowHeadLength,2
#AppCompatTheme_actionBarTabTextStyle,2
android.R.attr#layout_height},2
alexlahdekorpi.bclepakko.R.attr#layout_constraintEnd_toStartOf},2
#ConstraintLayout_Layout_layout_constraintLeft_toLeftOf,2
#AppCompatTheme_searchViewStyle,2
#SearchView_iconifiedByDefault,2
#ListPopupWindow_android_dropDownHorizontalOffset,2
#PopupWindow_android_popupAnimationStyle,2
#View_theme,2
#ActionBar_titleTextStyle,2
#ActionBar_homeLayout,2
alexlahdekorpi.bclepakko:titleTextStyle}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko.R.attr#textAllCaps},2
alexlahdekorpi.bclepakko:layout_constraintHeight_default,2
#View_paddingStart,2
alexlahdekorpi.bclepakko:layout_constraintEnd_toEndOf}</code></td><td></td></tr>,2
#AppCompatTheme_actionBarStyle,2
#TextAppearance_android_textStyle,2
#ConstraintSet_layout_constraintTop_toTopOf,2
alexlahdekorpi.bclepakko.R.attr#subtitleTextStyle},2
#Toolbar_titleMarginBottom,2
#AppCompatTheme_windowActionModeOverlay,2
#AlertDialog_listLayout,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintLeft_toLeftOf},2
#ActionBar_progressBarStyle,2
#RecycleListView_paddingBottomNoButtons,2
#ActionBar_contentInsetRight,2
#ConstraintSet_layout_constraintRight_toLeftOf,2
#ActionBarLayout_android_layout_gravity,2
#ConstraintSet_android_layout_marginStart,2
#AppCompatTheme_colorControlActivated,2
#ConstraintSet_android_layout_marginLeft,2
#AppCompatImageView_srcCompat,2
alexlahdekorpi.bclepakko:layout_constraintLeft_toRightOf}</code></td><td></td></tr>,2
android:orderInCategory}</code></td><td></td></tr>,2
#LinearLayoutCompat_android_gravity,2
alexlahdekorpi.bclepakko:layout_constraintVertical_chainStyle,2
alexlahdekorpi.bclepakko:layout_constraintVertical_bias,2
#ConstraintSet_layout_constraintRight_toRightOf,2
#ActionBar_height,2
#AppCompatTheme_dropdownListPreferredItemHeight,2
#AppCompatSeekBar_android_thumb,2
alexlahdekorpi.bclepakko.R.attr#layout_editor_absoluteX},2
alexlahdekorpi.bclepakko:title}</code></td><td></td></tr>,2
#ConstraintLayout_Layout_android_minHeight,2
#ConstraintSet_layout_constraintHeight_max,2
#ConstraintSet_layout_constraintBottom_toTopOf,2
#ConstraintLayout_Layout_layout_editor_absoluteX,2
alexlahdekorpi.bclepakko.R.attr#layout_goneMarginStart},2
#ConstraintLayout_Layout_layout_constraintStart_toStartOf,2
#ConstraintSet_android_layout_marginTop,2
#AppCompatTheme_colorControlHighlight,2
#MenuGroup_android_visible,2
#LinearLayoutCompat_Layout_android_layout_weight,2
alexlahdekorpi.bclepakko:layout_constraintDimensionRatio}</code></td><td></td></tr>,2
#LinearLayoutCompat_Layout_android_layout_width,2
#AppCompatTheme_listPreferredItemHeightSmall,2
alexlahdekorpi.bclepakko:contentInsetEnd,2
#SearchView_commitIcon,2
#MenuGroup_android_menuCategory,2
#SwitchCompat_switchMinWidth,2
#SwitchCompat_switchPadding,2
if,2
#ConstraintSet_layout_constraintVertical_bias,2
#ConstraintSet_android_elevation,2
alexlahdekorpi.bclepakko.R.attr#title},2
alexlahdekorpi.bclepakko:layout_constraintHorizontal_bias,2
alexlahdekorpi.bclepakko:layout_constraintGuide_percent}</code></td><td></td></tr>,2
#ConstraintSet_layout_constraintHorizontal_chainStyle,2
alexlahdekorpi.bclepakko.R.attr#contentInsetEndWithActions},2
#AppCompatTheme_imageButtonStyle,2
#ActionMode_backgroundSplit,2
alexlahdekorpi.bclepakko:layout_goneMarginStart}</code></td><td></td></tr>,2
#AppCompatTheme_actionBarSplitStyle,2
#ConstraintLayout_Layout_layout_constraintStart_toEndOf,2
alexlahdekorpi.bclepakko.R.attr#layout_goneMarginTop},2
alexlahdekorpi.bclepakko:layout_goneMarginEnd,2
alexlahdekorpi.bclepakko:layout_goneMarginRight}</code></td><td></td></tr>,2
#SearchView_layout,2
#ConstraintSet_android_scaleX,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintStart_toEndOf},2
#ConstraintSet_layout_goneMarginRight,2
#SwitchCompat_splitTrack,2
android:menuCategory}</code></td><td></td></tr>,2
#ConstraintLayout_Layout_layout_constraintDimensionRatio,2
#ConstraintSet_layout_constraintHeight_min,2
android:thumb,2
android.R.attr#layout_width},2
#AppCompatTheme_alertDialogTheme,2
#ConstraintLayout_Layout_android_maxHeight,2
#SearchView_android_focusable,2
#ConstraintSet_layout_constraintEnd_toEndOf,2
#ConstraintSet_layout_constraintGuide_begin,2
android:layout_gravity,2
#ConstraintLayout_Layout_layout_constraintWidth_default,2
#ColorStateListItem_android_alpha,2
#SearchView_closeIcon,2
#TextAppearance_textAllCaps,2
#RecycleListView},2
#ViewStubCompat_android_id,2
alexlahdekorpi.bclepakko.R.attr#contentInsetStartWithNavigation},2
#Toolbar_titleMarginEnd,2
#ConstraintSet_android_layout_marginEnd,2
#ConstraintLayout_Layout_layout_constraintHeight_min,2
alexlahdekorpi.bclepakko:layout_constraintGuide_percent,2
#ActionBar_backgroundSplit,2
#SwitchCompat_android_thumb,2
alexlahdekorpi.bclepakko:layout_constraintBaseline_creator,2
alexlahdekorpi.bclepakko:layout_constraintBaseline_creator}</code></td><td></td></tr>,2
alexlahdekorpi.bclepakko:layout_constraintRight_creator}</code></td><td></td></tr>,2
#Toolbar_subtitleTextColor,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintBottom_creator},2
alexlahdekorpi.bclepakko:title,2
alexlahdekorpi.bclepakko.R.attr#layout_constraintHeight_default},2
#SearchView_queryBackground,2
#MenuView_subMenuArrow,2
#DrawerArrowToggle_color,2
#AppCompatTheme_checkboxStyle,2
#AppCompatTheme_textColorSearchUrl,2
#ConstraintSet_layout_constraintHeight_default,2
#AppCompatTextHelper_android_drawableStart,2
